,Neutrophil,pair
"('Cholangiocyte', 'Hepatocyte', 'NK', 'Stellate')",0.2624,"('Cholangiocyte', 'Hepatocyte', 'NK', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.6957,"('Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('Cholangiocyte', 'Kupffer', 'LSEC', 'NK')",0.6798,"('Cholangiocyte', 'Kupffer', 'LSEC', 'NK')"
"('Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')",0.6419,"('Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'Monocyte', 'NK')",0.7149,"('Cholangiocyte', 'Kupffer', 'Monocyte', 'NK')"
"('Cholangiocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.7309,"('Cholangiocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'NK', 'Stellate')",0.6971,"('Cholangiocyte', 'Kupffer', 'NK', 'Stellate')"
"('Cholangiocyte', 'LSEC', 'Monocyte', 'NK')",0.7013,"('Cholangiocyte', 'LSEC', 'Monocyte', 'NK')"
"('Cholangiocyte', 'LSEC', 'Monocyte', 'Stellate')",0.732,"('Cholangiocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('Cholangiocyte', 'LSEC', 'NK', 'Stellate')",0.6736,"('Cholangiocyte', 'LSEC', 'NK', 'Stellate')"
"('Cholangiocyte', 'Monocyte', 'NK', 'Stellate')",0.7594,"('Cholangiocyte', 'Monocyte', 'NK', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.5883,"('Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('Hepatocyte', 'Kupffer', 'LSEC', 'NK')",0.5323,"('Hepatocyte', 'Kupffer', 'LSEC', 'NK')"
"('Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')",0.5382,"('Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'Monocyte', 'NK')",0.5854,"('Hepatocyte', 'Kupffer', 'Monocyte', 'NK')"
"('Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.5847,"('Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'NK', 'Stellate')",0.5554,"('Hepatocyte', 'Kupffer', 'NK', 'Stellate')"
"('Hepatocyte', 'LSEC', 'Monocyte', 'NK')",0.5884,"('Hepatocyte', 'LSEC', 'Monocyte', 'NK')"
"('Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')",0.5717,"('Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('Hepatocyte', 'LSEC', 'NK', 'Stellate')",0.402,"('Hepatocyte', 'LSEC', 'NK', 'Stellate')"
"('Hepatocyte', 'Monocyte', 'NK', 'Stellate')",0.5352,"('Hepatocyte', 'Monocyte', 'NK', 'Stellate')"
"('Kupffer', 'LSEC', 'Monocyte', 'NK')",0.7237,"('Kupffer', 'LSEC', 'Monocyte', 'NK')"
"('Kupffer', 'LSEC', 'Monocyte', 'Stellate')",0.7158,"('Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('Kupffer', 'LSEC', 'NK', 'Stellate')",0.6839,"('Kupffer', 'LSEC', 'NK', 'Stellate')"
"('Kupffer', 'Monocyte', 'NK', 'Stellate')",0.7451,"('Kupffer', 'Monocyte', 'NK', 'Stellate')"
"('LSEC', 'Monocyte', 'NK', 'Stellate')",0.7631,"('LSEC', 'Monocyte', 'NK', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer')",0.5178,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC')",0.4055,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte')",0.5167,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'NK')",0.2335,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'NK')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Stellate')",0.3211,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC')",0.6977,"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte')",0.7287,"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'NK')",0.699,"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'NK')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'Stellate')",0.6982,"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'Monocyte')",0.7104,"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'Monocyte')"
"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'NK')",0.6741,"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'NK')"
"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'Stellate')",0.6969,"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Monocyte', 'NK')",0.7198,"('B', 'CD8', 'Cholangiocyte', 'Monocyte', 'NK')"
"('B', 'CD8', 'Cholangiocyte', 'Monocyte', 'Stellate')",0.7172,"('B', 'CD8', 'Cholangiocyte', 'Monocyte', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'NK', 'Stellate')",0.6484,"('B', 'CD8', 'Cholangiocyte', 'NK', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC')",0.5467,"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'Monocyte')",0.5969,"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'Monocyte')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'NK')",0.5358,"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'NK')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'Stellate')",0.5692,"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'LSEC', 'Monocyte')",0.5655,"('B', 'CD8', 'Hepatocyte', 'LSEC', 'Monocyte')"
"('B', 'CD8', 'Hepatocyte', 'LSEC', 'NK')",0.442,"('B', 'CD8', 'Hepatocyte', 'LSEC', 'NK')"
"('B', 'CD8', 'Hepatocyte', 'LSEC', 'Stellate')",0.4682,"('B', 'CD8', 'Hepatocyte', 'LSEC', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'Monocyte', 'NK')",0.4783,"('B', 'CD8', 'Hepatocyte', 'Monocyte', 'NK')"
"('B', 'CD8', 'Hepatocyte', 'Monocyte', 'Stellate')",0.5404,"('B', 'CD8', 'Hepatocyte', 'Monocyte', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'NK', 'Stellate')",0.3733,"('B', 'CD8', 'Hepatocyte', 'NK', 'Stellate')"
"('B', 'CD8', 'Kupffer', 'LSEC', 'Monocyte')",0.7282,"('B', 'CD8', 'Kupffer', 'LSEC', 'Monocyte')"
"('B', 'CD8', 'Kupffer', 'LSEC', 'NK')",0.6922,"('B', 'CD8', 'Kupffer', 'LSEC', 'NK')"
"('B', 'CD8', 'Kupffer', 'LSEC', 'Stellate')",0.6933,"('B', 'CD8', 'Kupffer', 'LSEC', 'Stellate')"
"('B', 'CD8', 'Kupffer', 'Monocyte', 'NK')",0.7562,"('B', 'CD8', 'Kupffer', 'Monocyte', 'NK')"
"('B', 'CD8', 'Kupffer', 'Monocyte', 'Stellate')",0.7692,"('B', 'CD8', 'Kupffer', 'Monocyte', 'Stellate')"
"('B', 'CD8', 'Kupffer', 'NK', 'Stellate')",0.6958,"('B', 'CD8', 'Kupffer', 'NK', 'Stellate')"
"('B', 'CD8', 'LSEC', 'Monocyte', 'NK')",0.7594,"('B', 'CD8', 'LSEC', 'Monocyte', 'NK')"
"('B', 'CD8', 'LSEC', 'Monocyte', 'Stellate')",0.7668,"('B', 'CD8', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'CD8', 'LSEC', 'NK', 'Stellate')",0.6973,"('B', 'CD8', 'LSEC', 'NK', 'Stellate')"
"('B', 'CD8', 'Monocyte', 'NK', 'Stellate')",0.7686,"('B', 'CD8', 'Monocyte', 'NK', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')",0.533,"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte')",0.6034,"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK')",0.5169,"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')",0.5293,"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte')",0.5449,"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK')",0.4129,"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Stellate')",0.4163,"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'NK')",0.501,"('B', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'NK')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Stellate')",0.5423,"('B', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'NK', 'Stellate')",0.337,"('B', 'Cholangiocyte', 'Hepatocyte', 'NK', 'Stellate')"
"('B', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.7041,"('B', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('B', 'Cholangiocyte', 'Kupffer', 'LSEC', 'NK')",0.7028,"('B', 'Cholangiocyte', 'Kupffer', 'LSEC', 'NK')"
"('B', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')",0.6711,"('B', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('B', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'NK')",0.7251,"('B', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'NK')"
"('B', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.7385,"('B', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('B', 'Cholangiocyte', 'Kupffer', 'NK', 'Stellate')",0.7034,"('B', 'Cholangiocyte', 'Kupffer', 'NK', 'Stellate')"
"('B', 'Cholangiocyte', 'LSEC', 'Monocyte', 'NK')",0.702,"('B', 'Cholangiocyte', 'LSEC', 'Monocyte', 'NK')"
"('B', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Stellate')",0.7351,"('B', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'Cholangiocyte', 'LSEC', 'NK', 'Stellate')",0.7021,"('B', 'Cholangiocyte', 'LSEC', 'NK', 'Stellate')"
"('B', 'Cholangiocyte', 'Monocyte', 'NK', 'Stellate')",0.7268,"('B', 'Cholangiocyte', 'Monocyte', 'NK', 'Stellate')"
"('B', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.6028,"('B', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('B', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK')",0.5518,"('B', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK')"
"('B', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')",0.5708,"('B', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('B', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK')",0.5968,"('B', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK')"
"('B', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.6141,"('B', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('B', 'Hepatocyte', 'Kupffer', 'NK', 'Stellate')",0.5746,"('B', 'Hepatocyte', 'Kupffer', 'NK', 'Stellate')"
"('B', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK')",0.5842,"('B', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK')"
"('B', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')",0.5849,"('B', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'Hepatocyte', 'LSEC', 'NK', 'Stellate')",0.4716,"('B', 'Hepatocyte', 'LSEC', 'NK', 'Stellate')"
"('B', 'Hepatocyte', 'Monocyte', 'NK', 'Stellate')",0.5445,"('B', 'Hepatocyte', 'Monocyte', 'NK', 'Stellate')"
"('B', 'Kupffer', 'LSEC', 'Monocyte', 'NK')",0.7356,"('B', 'Kupffer', 'LSEC', 'Monocyte', 'NK')"
"('B', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",0.7198,"('B', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'Kupffer', 'LSEC', 'NK', 'Stellate')",0.6945,"('B', 'Kupffer', 'LSEC', 'NK', 'Stellate')"
"('B', 'Kupffer', 'Monocyte', 'NK', 'Stellate')",0.7712,"('B', 'Kupffer', 'Monocyte', 'NK', 'Stellate')"
"('B', 'LSEC', 'Monocyte', 'NK', 'Stellate')",0.7692,"('B', 'LSEC', 'Monocyte', 'NK', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')",0.541,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte')",0.6062,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK')",0.5017,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')",0.53,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte')",0.5547,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK')",0.3702,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Stellate')",0.3935,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'NK')",0.485,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'NK')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Stellate')",0.5444,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'NK', 'Stellate')",0.2757,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'NK', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.7246,"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'NK')",0.6717,"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'NK')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')",0.6758,"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'NK')",0.718,"('CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'NK')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.7307,"('CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'NK', 'Stellate')",0.6992,"('CD8', 'Cholangiocyte', 'Kupffer', 'NK', 'Stellate')"
"('CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'NK')",0.6991,"('CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'NK')"
"('CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Stellate')",0.729,"('CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('CD8', 'Cholangiocyte', 'LSEC', 'NK', 'Stellate')",0.6907,"('CD8', 'Cholangiocyte', 'LSEC', 'NK', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Monocyte', 'NK', 'Stellate')",0.7462,"('CD8', 'Cholangiocyte', 'Monocyte', 'NK', 'Stellate')"
"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.6113,"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK')",0.5344,"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK')"
"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')",0.5574,"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK')",0.5891,"('CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK')"
"('CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.61,"('CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('CD8', 'Hepatocyte', 'Kupffer', 'NK', 'Stellate')",0.5544,"('CD8', 'Hepatocyte', 'Kupffer', 'NK', 'Stellate')"
"('CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK')",0.5861,"('CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK')"
"('CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')",0.5934,"('CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('CD8', 'Hepatocyte', 'LSEC', 'NK', 'Stellate')",0.4256,"('CD8', 'Hepatocyte', 'LSEC', 'NK', 'Stellate')"
"('CD8', 'Hepatocyte', 'Monocyte', 'NK', 'Stellate')",0.5306,"('CD8', 'Hepatocyte', 'Monocyte', 'NK', 'Stellate')"
"('CD8', 'Kupffer', 'LSEC', 'Monocyte', 'NK')",0.7233,"('CD8', 'Kupffer', 'LSEC', 'Monocyte', 'NK')"
"('CD8', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",0.737,"('CD8', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('CD8', 'Kupffer', 'LSEC', 'NK', 'Stellate')",0.6854,"('CD8', 'Kupffer', 'LSEC', 'NK', 'Stellate')"
"('CD8', 'Kupffer', 'Monocyte', 'NK', 'Stellate')",0.7422,"('CD8', 'Kupffer', 'Monocyte', 'NK', 'Stellate')"
"('CD8', 'LSEC', 'Monocyte', 'NK', 'Stellate')",0.7572,"('CD8', 'LSEC', 'Monocyte', 'NK', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.5902,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK')",0.5388,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')",0.5151,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK')",0.5889,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.598,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK', 'Stellate')",0.5305,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK')",0.5418,"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK')"
"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')",0.5394,"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK', 'Stellate')",0.4064,"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'Monocyte', 'NK', 'Stellate')",0.5245,"('Cholangiocyte', 'Hepatocyte', 'Monocyte', 'NK', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK')",0.7144,"('Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK')"
"('Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",0.6875,"('Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'LSEC', 'NK', 'Stellate')",0.6876,"('Cholangiocyte', 'Kupffer', 'LSEC', 'NK', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'Monocyte', 'NK', 'Stellate')",0.7237,"('Cholangiocyte', 'Kupffer', 'Monocyte', 'NK', 'Stellate')"
"('Cholangiocyte', 'LSEC', 'Monocyte', 'NK', 'Stellate')",0.7305,"('Cholangiocyte', 'LSEC', 'Monocyte', 'NK', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK')",0.6102,"('Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK')"
"('Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",0.6112,"('Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'LSEC', 'NK', 'Stellate')",0.5579,"('Hepatocyte', 'Kupffer', 'LSEC', 'NK', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'Monocyte', 'NK', 'Stellate')",0.6118,"('Hepatocyte', 'Kupffer', 'Monocyte', 'NK', 'Stellate')"
"('Hepatocyte', 'LSEC', 'Monocyte', 'NK', 'Stellate')",0.5986,"('Hepatocyte', 'LSEC', 'Monocyte', 'NK', 'Stellate')"
"('Kupffer', 'LSEC', 'Monocyte', 'NK', 'Stellate')",0.7334,"('Kupffer', 'LSEC', 'Monocyte', 'NK', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')",0.551,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte')",0.6091,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK')",0.5177,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')",0.5456,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte')",0.5614,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK')",0.4278,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK')"
